,Stadtteilname,CDU,SPD,Grüne,FDP,AfD,Linke,Piraten
31,02 Johannstadt,18,12,10,5,24,22,0
32,02 Johannstadt,18,13,1,7,28,22,1
33,02 Johannstadt,23,12,8,6,22,19,0
34,02 Johannstadt,20,13,13,9,15,20,1
35,02 Johannstadt,21,12,8,8,19,20,1
36,02 Johannstadt,22,10,13,11,16,18,0
37,02 Johannstadt,32,9,5,10,18,16,0
38,02 Johannstadt,30,11,3,9,21,20,0
39,02 Johannstadt,25,11,5,9,17,23,0
40,02 Johannstadt,27,13,3,6,20,22,0
41,02 Johannstadt,27,9,3,8,27,18,0
42,02 Johannstadt,29,11,3,9,21,17,0
43,02 Johannstadt,24,9,3,8,31,17,0
44,02 Johannstadt,28,15,2,8,24,18,0
45,02 Johannstadt,21,11,3,8,27,20,0
46,02 Johannstadt,21,13,2,8,29,20,0
47,02 Johannstadt,18,9,4,3,28,28,0
48,02 Johannstadt,22,10,4,6,29,21,0
49,02 Johannstadt,29,10,2,8,26,18,0
50,03 StB Neustadt ohne Leipziger Vorstadt,13,9,26,6,5,29,1
51,03 StB Neustadt ohne Leipziger Vorstadt,15,11,20,8,3,26,1
52,03 StB Neustadt ohne Leipziger Vorstadt,13,11,26,4,3,29,1
53,03 StB Neustadt ohne Leipziger Vorstadt,11,12,25,6,3,29,1
54,03 StB Neustadt ohne Leipziger Vorstadt,10,9,23,6,5,31,0
